Marital_status,Course,Previous_qualification,Nacionality,Mothers_occupation,Fathers_occupation,Daytime_evening_attendance,Gender,Debtor,Tuition_fees_up_to_date,Scholarship_holder,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Application_order,Enrolled,Status
Single,Animation and Multimedia Design ,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,Daytime,Male,No,Yes,No,0,0,0.0,0,0,0.0,5,False,Dropout
Single,Tourism,Secondary education,Portuguese,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,Daytime,Male,No,No,No,6,6,14.0,6,6,13.666666666666666,1,False,Graduate
Single,Communication Design,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Male,No,No,No,6,0,0.0,6,0,0.0,5,False,Dropout
Single,Journalism and Communication,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,6,6,13.428571428571429,6,5,12.4,2,False,Graduate
Married,Social Service (evening attendance),Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Evening,Female,No,Yes,No,6,5,12.333333333333334,6,6,13.0,1,False,Graduate
Married,Management (evening attendance),Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Evening,Male,Yes,Yes,No,5,5,11.857142857142858,5,5,11.5,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,Daytime,Female,No,Yes,Yes,7,7,13.3,8,8,14.345,1,False,Graduate
Single,Tourism,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Male,No,No,No,5,0,0.0,5,0,0.0,4,False,Dropout
Single,Social Service,Secondary education,Romanian,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,Yes,6,6,13.875,6,6,14.142857142857142,3,False,Graduate
Single,Social Service,Secondary education,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,Yes,No,No,6,5,11.4,6,2,13.5,1,False,Dropout
Single,Advertising and Marketing Management,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,6,6,12.333333333333334,6,5,14.2,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,Yes,8,7,13.214285714285714,8,7,13.214285714285714,1,False,Graduate
Single,Basic Education,Secondary education,Portuguese,Administrative staff,Unskilled Workers,Daytime,Female,No,Yes,No,6,0,0.0,6,0,0.0,2,False,Dropout
Single,Tourism,Professional higher technical course,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,6,6,10.571428571428571,6,5,11.0,1,False,Graduate
Single,Veterinary Nursing,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,Yes,5,4,13.25,5,5,12.0,1,False,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,Unskilled Workers,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,6,5,13.2,6,0,0.0,1,False,Dropout
Single,Social Service,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,No,6,1,12.0,6,2,11.0,1,True,Dropout
Single,Nursing,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,Daytime,Female,No,Yes,No,7,7,13.30625,8,8,14.545,2,False,Graduate
Single,Equinculture,Secondary education,Portuguese,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,5,4,12.5,5,4,12.25,1,False,Graduate
Single,Basic Education,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,7,6,11.666666666666666,7,6,13.5,1,True,Graduate
Single,Animation and Multimedia Design ,Secondary education,Portuguese,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,Yes,0,0,0.0,0,0,0.0,3,False,Graduate
